"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"ABEC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ANALYTICA BIO-ENERGY CORP","N","N","Canada","Analytica Bio-Energy Corp."
"ABEOF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN SMALLER COS H/T","N","N","","Aberdeen Smaller Companies High Income Trust PLC"
"ABEPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABE RESOURCES INC","N","N","Canada","ABE Resources, Inc."
"ABETF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABENTEUER RESOURCES CORP","N","N","Canada","Abenteuer Resources Corp."
"ABFOF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERTIS INFRAESTRCTS ORD","N","N","Spain","Abertis Infraestructuras SA"
"ABFXF","Grey Market","12/11/2013","Grey Market","N","Fund","","ABF PAN ASIA BOND I/FD","N","N","","ABF Pan Asia Bond Index Fund"
"ABGFF","OTC Link","12/11/2013","OTCQX International","N","Ordinary Shares","","AMER BONANZA GOLD CRP ORD","N","N","Canada","American Bonanza Gold Corp."
"ABGLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AFRICAN BARRICK GOLD LTD","N","N","","African Barrick Gold Ltd."
"ABGLY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","AFRICAN BARRCK GOLD U/ADR","N","N","","African Barrick Gold Ltd."
"ABGOF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABENGOA SA ORD","N","N","Spain","Abengoa S.A."
"ABGOY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABENGOA SA UNSP/ADR","N","N","Spain","Abengoa S.A."
"ABGPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ALABAMA GRAPHITE CORP","N","N","","Alabama Graphite Corp."
"ABGSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABG SUNDAL COLLIER ASA","N","N","","ABG Sundal Collier ASA"
"ABHD","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ABTECH HOLDINGS INC","N","N","USA","Abtech Holdings, Inc."
"ABHI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMBICOM HOLDINGS INC","N","N","USA","AmbiCom Holdings, Inc."
"ABIZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABINGTON RESOURCES INC","N","N","Canada","Abington Resources, Ltd."
"ABKB","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMER BASKETBALL ASSN INC","N","N","USA","American Basketball Association, Inc."
"ABKH","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER BANK HLDGS INC (DE)","N","N","USA","American Bank Holdings, Inc."
