"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name" 
"MCTV","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MASCOT VENTURES INC","N","N","USA","Mascot Ventures, Inc."
"MCTYF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MICROPLANET TECH CORP","N","N","USA","MicroPlanet Technology Corp."
"MCTZF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MCOT PUBLIC CO LTD NVDR","N","N","Thailand","Mcot Public Co., Ltd."
"MCUIF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MIRACULINS INC","N","N","Canada","Miraculins Inc."
"MCUJF","OTC Link","12/11/2013","OTCQB","N","Ordinary Shares","","MEDICURE INC","N","N","Canada","Medicure Inc."
"MCVE","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MACROSOLVE INC","N","N","USA","MacroSolve Inc."
"MCVI","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEDICALCV INC","N","N","USA","MedicalCV, Inc."
"MCVT","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MILL CITY VENTURES III","N","N","USA","Mill City Ventures III, Ltd."
"MCWPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MELCO CROWN PHILIPP RES","N","N","","Melco Crown Philippines Resorts Corp."
"MCYC","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MCY.COM INC","N","N","Canada","MCY.com, Inc."
"MCYGF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MILL CITY GOLD CORP","N","N","Canada","Mill City Gold Corp."
"MCYWF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MACUSANI YELLOWCAKE INC","N","N","Canada","Macusani Yellowcake Inc."
"MDABF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDA AB ORD A","N","N","Sweden","Meda AB"
"MDABY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEDA AB UNSP/ADR","N","N","Sweden","Meda AB"
"MDAHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MIDAS HOLDINGS LTD ORD","N","N","","Midas Holdings Ltd."
"MDAUY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","MEDICAL AUSTRALIA S/ADR","N","N","","Medical Australia Ltd."
"MDAV","OTC Link","12/11/2013","OTCQB","N","Common Stock","","DAVI LUXURY BRAND GRP INC","N","N","USA","Davi Luxury Brand Group, Inc."
"MDAW","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEDIA WAY CORP","N","N","USA","Media Way Corp."
"MDBS","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MASTER DISTRIBUTION SYS","N","N","USA","Master Distribution Systems, Inc."
"MDBX","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","MEDBOX INC","N","N","USA","Medbox, Inc."
"MDCE","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","MEDICAL CARE TECHS INC","N","N","China","Medical Care Technologies Inc."
"MDCN","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MEDICAN ENTERPRISES INC","N","N","USA","Medican Enterprises Inc"
"MDDD","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MAKISM 3D CORP","N","N","United Kingdom","Makism 3D Corp."
"MDDI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDIQ INC","N","N","","MEDIQ, Inc."
"MDDM","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MDM GROUP INC","N","N","USA","MDM Group, Inc."
"MDDVF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDICAL DEV INTL LTD ORD","N","N","","Medical Developments International Ltd."
"MDDWF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MACDONALD DTTWLR&ASSO LTD","N","N","Canada","MacDonald, Dettwiler & Associates Ltd."
"MDEA","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDIA 100 INC","N","N","USA","Media 100, Inc."
"MDEPY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","ARNOLDO MONDADORI E U/ADR","N","N","","Arnoldo Mondadori Editore Spa"
"MDEVF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MELCO INTL DEVEL","N","N","Hong Kong","Melco International Development Limited"
"MDEX","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MADISON EXPLORATIONS INC","N","N","USA","Madison Explorations, Inc."
"MDFI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEDEFILE INTL INC","N","N","USA","Medefile International, Inc."
"MDFZF","OTC Link","12/11/2013","OTCQX International","N","Ordinary Shares","","MEDIFOCUS INC","N","N","USA","Medifocus, Inc."
"MDGC","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","MEDIAG3 INC","N","N","USA","MediaG3, Inc."
"MDGEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIGENE AG ORD","N","N","Germany","MediGene AG"
"MDGP","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEDGROUP INC CALIF","N","N","USA","MedGroup, Inc."
"MDHG","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEDIA HLDGS INTL INC","N","N","USA","Media Holdings International, Inc."
"MDHI","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","MEDICAL ALARM CONCPTS HLD","N","N","USA","Medical Alarm Concepts Holding, Inc."
"MDHJF","Grey Market","12/11/2013","Grey Market","N","Other Security Type","","MANDARIN HOTEL PUB NVDR","N","N","Thailand","Mandarin Hotel Public Company Ltd."
"MDIBF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIOBANCA SPA","N","N","Italy","MedioBanca SpA"
"MDIBY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEDIOBANCA SPA UNSP/ADR","N","N","Italy","MedioBanca SpA"
"MDIEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIASET SPA ORD","N","N","Italy","Mediaset S.p.A."
"MDIKF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MODEC INC","N","N","Japan","Modec Inc."
"MDIN","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","NORTHSTAR GLOBAL BUS SVCS","N","N","USA","Northstar Global Business Services, Inc."
"MDIS","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","PHARMACONNECT INC","N","N","USA","PharmaConnect, Inc."
"MDIUY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEDIASET SPA S/ADR","N","N","Italy","Mediaset S.p.A."
"MDKFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MANDRAKESOFT (FRA)","N","N","France","MandrakeSoft S.A."
"MDKM","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MDECHEM INC","N","N","USA","MDECHEM, Inc."
"MDLAY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEDIOLANUM SPA UNSP/ADR","N","N","Italy","Mediolanum S.p.A."
"MDLG","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDIA LOGIC INC","N","N","","Media Logic, Inc."
"MDLH","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEDICAL INTL TECH INC","N","N","Canada","Medical International Technology, Inc."
"MDLNF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MADALENA ENERGY INC","N","N","Canada","Madalena Energy Inc"
"MDLXF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MIDLANDS MINERALS CRP ORD","N","N","Canada","Midlands Minerals Corp."
"MDMC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MARINE DRIVE MOBILE CORP","N","N","USA","Marine Drive Mobile Corp."
"MDMEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MDM ENGINEERING GP ORD","N","N","","MDM Engineering Group Ltd."
"MDMN","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","MEDINAH MINERALS INC","N","N","USA","Medinah Minerals, Inc."
"MDNB","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MINDEN BANCORP INC NEW","N","N","USA","Minden Bancorp, Inc."
"MDNDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MCDONALDS CO LTD TOKYO","N","N","","McDonalds Co., Ltd."
"MDNFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MONDRAGON INTL","N","N","Philippines","Mondragon International Philippines, Inc."
"MDNGF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MIDNIGHT SUN MINING CORP","N","N","","Midnight Sun Mining Corp"
"MDNNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MDN INC","N","N","Canada","MDN Inc."
"MDNT","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEDIENT STUDIOS INC","N","N","USA","Medient Studios, Inc."
"MDNYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MODIIN ENERGY ORD","N","N","","Modiin Energy"
"MDPAY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","MANUFACTURAS PAPEL ADR","N","N","","Manufacturas de Papel CA"
"MDPCF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MADISON PAC PPTYS B ORD","N","N","Canada","Madison Pacific Properties Inc."
"MDPEB","OTC Link","12/11/2013","OTCQB","N","Common Stock","B","MEREDITH CORP B","N","N","USA","Meredith Corp."
"MDPHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MONADELPHOUS GROUP ORD","N","N","Australia","Monadelphous Group Ltd"
"MDPO","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MAINTENANCE DEPOT INC","N","N","USA","Maintenance Depot, Inc."
"MDPY","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEDICAL PROPERTIES INC","N","N","","Medical Properties, Inc."
"MDRA","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDRA CORP","N","N","","Medra Corp."
"MDRG","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MODERN ENERGY CORP","N","N","USA","Modern Energy Corp."
"MDRM","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","MODERN MOBILITY AIDS INC","N","N","Canada","Modern Mobility Aids, Inc."
"MDRPF","OTC Link","12/11/2013","OTCQX International","N","Ordinary Shares","","MIDAS GOLD CORP ORD","N","N","Canada","Midas Gold Corp"
"MDRUF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MOD RESOURCES LIMITED ORD","N","N","","Mod Resources Limited"
"MDRZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MDR LTD ORD","N","N","Singapore","mDR Limited"
"MDSI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MATRIX DENTURE SYS INTL","N","N","USA","Matrix Denture Systems International, Inc."
"MDSMF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDUSA MINING LTD ORD","N","N","","Medusa Mining Ltd."
"MDSN","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MADISON BANCORP INC COM","N","N","USA","Madison Bancorp, Inc."
"MDST","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MINDESTA INC","N","N","Canada","Mindesta, Inc."
"MDTC","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEDIA TECHS INC","N","N","USA","Media Technologies Inc."
"MDTKF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIA TEK INC","N","N","","Media Tek Inc."
"MDTMY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MODERN TIMES GRP UNSP/ADR","N","N","Sweden","Modern Times Group AB"
"MDTNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","B","MODERN TIMES GROUP AB B","N","N","Sweden","Modern Times Group AB"
"MDTO","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MD TECHS INC","N","N","USA","MD Technologies Inc."
"MDTV","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MDU COMMUNS INTL INC","N","N","USA","MDU Communications International, Inc."
"MDULF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","NEW CAROLIN GOLD CORP ORD","N","N","Canada","New Carolin Gold Corp."
"MDURI","Grey Market","12/11/2013","Grey Market","N","Preferred Stock","","MDU RES GRP INC 5.10 PFD","N","N","USA","MDU Resources Group, Inc."
"MDURN","OTC Link","12/11/2013","OTCQB","N","Preferred Stock","","MDU RES GROUP INC 4.70 PR","N","N","USA","MDU Resources Group, Inc."
"MDURP","OTC Link/BB","12/11/2013","OTCQB","N","Preferred Stock","","MDU RES GROUP INC 4.50 PR","N","N","USA","MDU Resources Group, Inc."
"MDVPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MIRLAND DEVELOPMENT CORP","N","N","","Mirland Development Corp plc."
"MDVT","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MIDDLEBURY NATL CORP","N","N","USA","Middlebury National Corp."
"MDWCF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIAWATCH PLC ORD","N","N","","Mediawatch plc"
"MDWE","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MIDWEST BNCSHS INC OHIO","N","N","USA","Midwest Bancshares Inc (OH)"
"MDWG","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEDIANEWS GROUP INC B","N","N","","Medianews Group, Inc."
"MDWK","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MDWERKS INC","N","N","USA","MDWerks, Inc."
"MDWV","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEDWAVE INC","N","N","","Medwave, Inc."
"MDXHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDX HEALTH CORP","N","N","Canada","MedX Health Corp."
"MDXX","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDEX INC NEV","N","N","USA","Medex, Inc."
"MEAI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","METRO AIRLINES INC","N","N","","Metro Airlines, Inc."
"MEAOF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","METANOR RESOURCES INC","N","N","Canada","Metanor Resources Inc."
"MECSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEC RESOURCES LTD ORD","N","N","","MEC Resources Ltd."
"MECVF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIAGRIF INTERACTVE TECH","N","N","Canada","Mediagrif Interactive Technologies Inc."
"MEDA","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MEDIA ANALYTICS CORP","N","N","China","Media Analytics Corp"
"MEDL","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEDL MOBILE HOLDINGS INC","N","N","USA","MEDL Mobile Holdings, Inc."
"MEDS","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","MEDISTEM INC","N","N","USA","Medistem, Inc."
"MEDT","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEDIATECHNICS CORP","N","N","USA","MediaTechnics Corp."
"MEEC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MIDWEST ENERGY EMISSION","N","N","USA","Midwest Energy Emissions Corp."
"MEEXF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ME RESOURCE CORP","N","N","Canada","ME Resource Corporation"
"MEGEF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MEG ENERGY CORP","N","N","Canada","Meg Energy Corp."
"MEGGF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MEGGITT PLC","N","N","United Kingdom","Meggitt Plc"
"MEGGY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEGGITT PLC UNSP/ADR","N","N","United Kingdom","Meggitt Plc"
"MEGH","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEGALITH CORP","N","N","","Megalith Corp."
"MEGVF","Grey Market","12/11/2013","Grey Market","N","Warrants","","MEGA URANIUM LTD 14 WTS","N","N","Canada","Mega Uranium Ltd."
"MEIJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEIJI ELECTRIC INDUS CO","N","N","","Meiji Electric Industries Co., Ltd."
"MEITF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEITEC CORP","N","N","Japan","Meitec Corp."
"MEIYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MERCIALYS PARIS ORD","N","N","","Mercialys Paris"
"MEJHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEIJI HOLDINGS CO LTD ORD","N","N","Japan","Meiji Holdings Co., Ltd."
"MEJHY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEIJI HOLDINGS UNSP/ADR","N","N","Japan","Meiji Holdings Co., Ltd."
"MELD","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEADOWSTAR ENTERPRISES LT","N","N","USA","Meadowstar Enterprises Ltd"
"MELL","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MELLIN INDUSTRIES INC","N","N","","Mellin Industries, Inc."
"MELY","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MICROELECTRONICS TECH CO","N","N","USA","Microelectronics Technology Co."
"MEME","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEEMEE MEDIA INC","N","N","USA","MeeMee Media Inc."
"MEMI","Grey Market","12/11/2013","Grey Market","N","Common Stock","A","MIRACLE ENTMT INC","N","N","","Miracle Entertainment Inc."
"MEMLA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","A","METROPOLITAN MINES A","N","N","USA","Metropolitan Mines Corp. Ltd"
"MENB","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MENDOCINO BREWING CO","N","N","USA","Mendocino Brewing Co., Inc."
"MENI","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","MOBILIZED ENTMT INC","N","N","USA","Mobilized Entertainment, Inc."
"MEOAF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEO AUSTRALIA LTD ORD","N","N","Australia","MEO Australia Limited"
"MEOAY","OTC Link","12/11/2013","OTCQX International","N","American Depository Receipts","","MEO AUSTRALIA UNSP/ADR","N","N","Australia","MEO Australia Limited"
"MEOBF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MESOBLAST LTD ORD","N","N","Australia","Mesoblast Ltd."
"MEOGF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MEDITERRANEAN OIL&GAS PLC","N","N","United Kingdom","Mediterranean Oil & Gas plc. London"
"MEPTF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEDIPOST CO LTD ORD","N","N","","Medipost Co., Ltd."
"MEQYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAINSTREET EQUITY CORP","N","N","Canada","Mainstreet Equity Corp."
"MERG","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","MERGER MINES CORP","N","N","USA","Merger Mines Corp."
"MERMF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MERITUS MINERALS LTD ORD","N","N","Canada","Meritus Minerals Ltd."
"MERR","OTC Link","12/11/2013","OTCQX U.S.","N","Common Stock","","MERRIMAN HOLDINGS INC","N","N","USA","Merriman Holdings, Inc."
"MERT","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","METROPOLITAN ROYALTY CORP","N","N","USA","Metropolitan Royalty Corp."
"MERVF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","A","MANILA ELEC CO ORD","N","N","Philippines","Manila Electric Co. (MERALCO)"
"MESNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MARAUDER RES EAST COAST","N","N","Canada","Marauder Resources East Coast, Inc."
"METSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","METALS X LTD ORD","N","N","Australia","Metals X, Ltd."
"MEVT","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MSE ENVIRO-TECH CORP","N","N","Canada","MSE Enviro-Tech Corp."
"MEWX","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEDIAWORX INC","N","N","","MediaWorx, Inc."
"MEYPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAPLE ENERGY PLC EASTLEIG","N","N","","Maple Energy Plc, Eastleigh"
"MEYPY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","MAPLE ENERGY UNSP/ADR","N","N","","Maple Energy Plc, Eastleigh"
"MEYYY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEDCO ENERGI INT UNSP/ADR","N","N","Indonesia","Medco Energi Internasional TBK PT"
"MFAIF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MING FAI INTERNATIONAL HO","N","N","","Ming Fai International Holdings Ltd."
"MFBP","OTC Link","12/11/2013","OTCQB","N","Common Stock","","M&F BANCORP INC","N","N","USA","M&F Bancorp, Inc."
"MFCO","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MICROWAVE FILTER CO INC","N","N","USA","Microwave Filter Co., Inc."
"MFCSF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MEDICAL FACILITIES CORP","N","N","Canada","Medical Facilities Corp."
"MFDB","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MUTUAL FEDERAL BNCRP IL","N","N","USA","Mutual Federal Bancorp, Inc."
"MFGHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAINFREIGHT LTD ORD","N","N","","Mainfreight Ltd."
"MFGHY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","MAINFREIGHT LTD UNSP/ADR","N","N","","Mainfreight Ltd."
"MFGI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MERCHANTS FINCL GRP INC","N","N","USA","Merchants Financial Group, Inc."
"MFIA","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MARLIN FIREARMS CO","N","N","USA","Marlin Firearms Co."
"MFIN","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","MEDICAL FINANCE INC","N","N","USA","Medical Finance, Inc."
"MFMLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MARIFIL MINES LTD","N","N","USA","Marifil Mines Ltd."
"MFMNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","GOLDROCK MINES CORP ORD","N","N","Canada","Goldrock Mines Corp."
"MFON","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MOBIVITY HOLDINGS CORP","N","N","USA","Mobivity Holdings Corp."
"MFOYY","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","MEGAFON OJSC S/GDR REG S","N","N","","Megafon OJSC"
"MFRSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAGNESITA REFRATARIOS SA","N","N","Brazil","Magnesita Refratarios SA"
"MFRSY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MAGNESITA REFRATARS S/ADR","N","N","Brazil","Magnesita Refratarios SA"
"MFRVF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","A","MINERA FRISCO ORD A","N","N","Mexico","Minera Frisco S A B"
"MFST","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MEDIFIRST SOLUTIONS INC","N","N","USA","Medifirst Solutions Inc."
"MFTH","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","MEDISAFE 1 TECH CORP","N","N","Israel","Medisafe 1 Technologies Corp."
"MGAAF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MORINAGA & CO LTD ORD","N","N","Japan","Morinaga & Co., Ltd."
"MGABY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","MEGABANK PLC S/ADR","N","N","","Megabank Plc"
"MGAFF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","MEGA URANIUM LTD ORD","N","N","Canada","Mega Uranium Ltd."
"MGAG","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MORTGAGE OIL CORP","N","N","USA","Mortgage Oil Corp."
"MGAWF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEGAWORLD CORP ORD","N","N","Philippines","Megaworld Corp."
"MGAWY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MEGAWORLD CORP UNSP/ADR","N","N","Philippines","Megaworld Corp."
"MGBK","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MAGNA BANK MEMPHIS TENN","N","N","USA","Magna Bank Memphis Tennessee"
"MGBKP","OTC Link","12/11/2013","OTCQB","N","Preferred Stock","D","MAGNA BK MEMPHIS TEN PR D","N","N","USA","Magna Bank Memphis Tennessee"
"MGCFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MIDASCO CAPITAL CORP","N","N","Canada","Midasco Capital Corp."
"MGCG","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MYGLOBALCONCIERGE.COM INC","N","N","","MyGlobalConcierge.com, Inc."
"MGCHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAGIC HOLDINGS INTL LTD","N","N","","Magic Holdings International Ltd"
"MGCV","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MGC VENTURES INC","N","N","USA","MGC Ventures Inc."
"MGDDF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","B","MICHELIN CIE GEN DES ESTB","N","N","France","Michelin Cie Des Estb"
"MGDDY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MICHELIN CIE GEN UNSP/ADR","N","N","France","Michelin Cie Des Estb"
"MGDPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MARATHON GOLD CORP ORD","N","N","","Marathon Gold Corp"
"MGEVF","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","MAHINDRA LIFESPACE S/GDR","N","N","India","Mahindra Lifespace Developers, Ltd."
"MGFCF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEGA FIRST CORP","N","N","","Mega First Corp."
"MGFRF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAGFORCE NANOTECHS AG","N","N","","Magforce Nanotechnologies AG"
"MGFX","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","MONARCH GULF EXPL INC","N","N","USA","Monarch Gulf Exploration, Inc."
"MGGI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MEADOWBROOK GOLF GRP INC","N","N","USA","Meadowbrook Golf Group Inc."
"MGHL","OTC Link","12/11/2013","OTCQB","N","Common Stock","","MORGAN GROUP HLDGS CO","N","N","USA","Morgan Group Holding Co."
"MGHOF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MEGHMANI ORGANICS D/SH","N","N","India","Meghmani Organics Ltd."
"MGHRF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MCGRAW HILL RYERSON LTD","N","N","Canada","McGraw-Hill Ryerson Ltd."
"MGJCL","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","MAGNIT OJSC S/GDR 144A","N","N","","Magnit Ojsc"
"MGLG","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","MAGELLAN ENERGY LTD","N","N","Canada","Magellan Energy, Ltd."
"MGLI","Grey Market","12/11/2013","Grey Market","N","Common Stock","","MEGELLAN INDUS INC","N","N","USA","Magellan Industries, Inc."
"MGLO","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEDIA GLOBO CORP","N","N","USA","Media Globo Corp. (The)"
